user_id,deposit_id,deposit_product_views,deposit_applied
13845,28,1,1
12950,29,1,1
8540,20,1,1
11458,29,1,0
112,36,7,1
19896,14,1,0
15928,82,3,0
16865,53,2,1
15757,35,5,0
5396,48,2,1
15508,65,3,0
9399,66,6,1
18487,41,4,1
16854,34,3,0
3387,35,5,1
18979,73,2,1
6259,98,6,0
19948,89,6,1
15393,1,5,1
829,90,2,1
2,99,2,1
19030,15,4,0
8561,52,4,1
3903,68,2,1
17848,88,3,1
13057,59,1,1
16623,49,2,0
13204,80,3,1
16960,13,2,1
3503,61,4,1
10353,43,1,1
19492,71,2,0
6827,83,1,1
10186,77,3,1
14640,41,5,1
15693,65,5,0
4598,39,3,0
12294,98,1,1
15706,60,1,0
12538,71,1,1
6103,65,1,1
12679,75,5,1
7492,51,3,1
19781,25,2,1
7455,6,1,1
142,94,2,0
1960,45,1,1
13575,22,7,1
8599,70,1,1
4989,10,6,1
5435,47,3,1
9305,36,5,1
18606,30,4,0
12537,80,2,1
2936,50,4,1
10011,57,4,1
17060,38,1,0
5445,3,6,0
5936,90,5,1
11758,96,7,0
2052,58,3,1
6537,28,2,0
17771,8,6,1
5753,35,1,1
9259,30,3,0
16310,85,3,1
5880,69,5,1
3649,19,2,1
3090,65,4,1
12809,29,1,1
14633,33,5,0
19604,50,2,1
8893,32,1,1
541,24,3,0
3147,25,6,1
16943,51,5,1
3303,61,1,1
11959,58,1,1
15237,47,4,1
5613,73,1,1
3321,10,9,1
19617,24,3,1
15075,15,1,0
5144,91,4,1
11756,70,3,0
12650,73,6,1
17789,50,1,1
4478,46,6,0
18809,20,1,1
2384,7,1,0
19361,4,2,1
1555,86,3,0
2219,58,3,1
5431,3,6,0
8806,16,2,1
2413,88,4,1
177,51,4,0
8890,12,1,1
7918,69,4,0
16243,95,4,1
4150,93,3,1
6469,37,4,1
11237,88,4,1
5865,14,2,1
4740,1,2,0
7665,61,7,1
3669,39,3,1
17723,6,4,1
6160,9,5,0
19484,45,4,1
5383,93,5,1
368,47,2,0
11377,98,2,1
10864,9,2,1
11525,10,1,0
3186,81,4,1
17654,71,1,1
14569,96,1,0
7902,78,2,1
10185,49,4,1
7069,28,1,1
7097,67,4,0
11249,87,1,1
12672,13,5,1
11238,71,2,0
8817,73,1,1
16654,89,4,1
3169,25,3,0
18737,37,2,1
2693,62,5,1
11348,99,1,1
6779,46,6,1
4016,42,1,0
11308,49,2,1
17890,28,1,1
11623,98,1,1
3790,19,1,1
13556,65,1,1
19199,73,1,1
882,20,6,1
6437,70,4,1
4446,100,4,0
4291,14,4,0
16253,56,9,1
2485,50,4,1
16349,16,1,1
17017,36,3,1
16657,20,1,1
213,14,3,1
16145,77,1,1
19422,7,3,1
3293,40,2,0
9716,22,2,0
3032,60,2,1
2855,84,3,0
16800,52,3,0
9368,19,3,1
13004,23,4,1
18486,41,2,0
14859,90,2,1
12422,39,2,1
18557,12,3,1
6348,47,4,1
10957,29,4,1
17394,78,2,1
19016,17,4,1
9409,16,4,1
17060,28,1,1
4590,28,3,1
4101,60,2,1
6145,62,2,1
3706,66,5,1
1472,70,4,1
9177,6,1,0
17504,58,4,1
2462,95,5,1
7101,68,1,1
15898,50,5,1
9573,42,4,0
6633,71,3,1
601,53,4,1
17810,13,6,1
3160,39,4,1
70,5,2,1
6692,48,3,1
6849,36,3,0
3511,64,1,1
8321,58,1,0
736,76,1,1
958,54,4,1
17005,6,6,0
17425,18,5,1
1327,72,2,1
10169,68,1,0
12356,38,3,0
4065,42,1,1
15292,88,4,0
12953,50,1,0
12633,97,3,1
18745,21,2,1
7354,12,1,1
19488,45,2,1
10126,75,4,1
19724,24,1,1
15390,18,4,0
9804,28,6,1
11697,17,3,1
17389,15,4,1
2372,47,4,1
2334,73,2,1
7874,14,5,0
13289,35,3,0
12403,16,1,1
11507,22,4,0
531,100,5,0
13064,11,1,1
9867,26,4,1
14449,13,3,1
9134,8,5,1
10145,79,1,1
12585,37,1,1
1262,14,3,0
1680,17,3,1
7901,76,2,1
11356,27,3,1
10577,56,6,1
15932,67,3,0
11615,5,4,1
10145,25,5,0
11158,15,7,1
16488,29,1,1
14451,64,1,1
16693,58,4,0
9388,11,1,0
16145,50,1,1
13431,44,4,1
8670,34,3,1
15382,32,6,0
15673,2,1,1
19575,33,8,1
17819,100,1,0
16356,40,4,1
9688,46,5,1
6706,30,1,1
918,13,2,1
15737,35,5,0
3239,73,2,1
10898,100,6,1
16050,10,3,1
7695,72,1,1
14806,74,2,0
4519,82,4,1
5465,54,2,1
1239,52,1,1
5217,65,1,1
411,8,4,0
9884,97,1,1
5425,72,2,1
5424,27,2,1
12675,69,2,1
15752,54,6,1
11141,52,4,0
18602,4,6,1
9556,7,2,1
1751,24,1,1
6305,21,5,1
15372,31,6,1
15989,61,5,0
3617,15,3,1
6250,48,5,0
4139,80,1,0
16101,91,2,1
2555,15,1,1
13295,80,6,1
19987,90,5,1
9197,98,6,1
9928,32,4,0
10249,59,2,0
1821,57,6,0
7003,41,4,1
8106,49,6,1
3628,87,4,1
18172,41,2,1
17652,14,5,1
12908,6,4,1
14498,85,5,1
125,59,1,1
16214,13,1,1
2137,37,5,0
16149,6,5,1
3182,20,1,0
4017,12,1,0
12302,59,3,1
837,52,5,1
12503,68,3,0
11424,26,7,1
14238,7,5,1
7597,6,2,0
783,100,4,1
5642,91,3,1
4386,70,4,1
15114,73,1,1
6739,41,2,1
3337,13,1,1
625,87,1,1
926,100,2,1
6109,28,6,0
16683,39,1,1
4130,3,4,0
19213,85,6,1
12038,44,1,1
11550,90,3,1
11360,90,2,0
7055,22,3,1
15316,69,3,1
17533,40,3,0
17106,12,1,0
18917,21,4,1
15238,95,2,0
15784,11,3,1
3424,35,2,0
16217,8,1,0
7074,80,1,1
4803,3,5,1
2771,33,1,1
11514,67,2,1
5445,55,1,1
18589,22,2,1
308,10,7,1
1895,41,2,1
10341,46,1,1
11676,82,3,1
13292,26,5,1
7891,74,1,1
4886,25,5,1
491,36,4,1
15514,27,5,1
4921,57,1,1
12252,34,1,1
5427,94,5,1
16527,69,1,0
14294,80,1,1
5338,12,3,1
18421,82,3,1
3978,82,3,1
16831,14,4,1
14122,95,1,1
12828,14,3,1
15351,85,1,1
17677,1,5,1
853,44,5,0
1342,8,2,0
162,82,6,1
19699,44,3,1
11932,18,5,0
14418,95,2,1
6137,33,3,1
6391,83,1,1
11827,41,6,1
12420,3,1,1
5897,89,1,1
61,88,4,0
8788,8,6,0
234,74,5,0
13117,12,1,0
9810,71,3,1
2283,74,4,1
19624,80,6,1
8798,84,1,0
3314,51,1,1
5566,21,3,1
7151,99,7,0
16295,23,1,1
19794,81,6,1
