user_id,age,gender,region,occupation,annual_income,debt,credit_score,annual_spending,num_cards,late_payment,financial_accident,total_deposit,total_savings,total_assets
1,29,1,경기,중소기업 직원,3909,2049,830,452,4,0,0,0,0,-2049
2,62,1,경기,대기업 직원,6846,3306,850,1077,4,0,0,1085,950,-1271
3,40,1,인천,무직,1233,436,750,239,2,0,0,689,918,1171
4,45,1,경기,은퇴자,2134,784,750,448,1,0,0,588,619,423
5,67,1,경기,공무원,5240,2602,850,929,2,0,0,685,519,-1398
6,58,1,인천,자영업자,4940,2414,800,605,2,0,0,1638,1371,595
7,38,1,기타 지방,은퇴자,1585,874,750,347,2,0,0,1125,567,818
8,53,0,서울,무직,1279,500,750,232,2,0,0,1096,1463,2059
9,43,0,지방 대도시,대기업 직원,5676,1757,900,912,4,0,0,1118,789,150
10,53,0,인천,중소기업 직원,3871,1351,850,911,3,0,0,721,1715,1085
11,76,1,서울,공무원,5842,1771,850,809,2,0,0,1554,1103,886
12,33,1,지방 대도시,대기업 직원,7079,3090,900,1664,5,0,0,508,505,-2077
13,56,0,서울,중소기업 직원,4537,1750,850,576,2,0,0,634,987,-129
14,49,1,지방 대도시,대기업 직원,6677,2008,900,776,5,0,0,441,811,-756
15,31,1,경기,무직,1584,515,750,227,2,0,0,2160,1084,2729
16,22,0,경기,자영업자,3858,1810,780,813,3,0,0,393,229,-1188
17,64,0,인천,은퇴자,1614,916,700,174,1,0,0,402,1175,661
18,34,0,기타 지방,중소기업 직원,3284,1140,850,437,3,0,0,1423,1436,1719
19,55,1,인천,은퇴자,2049,683,700,303,2,1,0,792,532,641
20,66,0,인천,은퇴자,1908,688,700,223,1,0,0,1274,860,1446
21,56,1,지방 대도시,중소기업 직원,3330,1229,850,717,3,0,0,1320,446,537
22,38,0,기타 지방,자영업자,3346,1627,700,330,4,0,1,2791,1681,2845
23,29,0,경기,대기업 직원,6232,2844,880,569,3,0,0,1821,1169,146
24,39,0,경기,은퇴자,1907,968,750,415,1,0,0,1247,987,1266
25,36,1,경기,대기업 직원,8771,4198,900,1803,5,0,0,702,621,-2875
26,48,1,지방 대도시,대기업 직원,5117,2020,900,957,3,0,0,2259,2213,2452
27,37,1,지방 대도시,무직,1062,556,750,127,1,0,0,2007,1544,2995
28,29,0,인천,중소기업 직원,3895,2060,830,911,2,0,0,2146,1172,1258
29,42,1,경기,자영업자,5098,2723,800,965,3,0,0,2319,1599,1195
30,47,1,기타 지방,무직,908,379,750,146,1,0,0,808,1104,1533
31,47,1,인천,중소기업 직원,3701,1821,850,314,4,0,0,0,0,-1821
32,51,0,인천,대기업 직원,7320,3354,900,785,4,0,0,1292,1460,-602
33,40,1,인천,은퇴자,2235,1010,750,431,1,0,0,1128,496,614
34,40,0,지방 대도시,공무원,4937,1509,900,427,2,0,0,756,611,-142
35,43,1,서울,프리랜서,2751,1321,800,617,2,0,0,207,579,-535
36,38,1,기타 지방,은퇴자,1503,773,750,334,1,0,0,492,534,253
37,47,1,인천,공무원,5766,2597,900,919,3,0,0,1215,870,-512
38,49,1,지방 대도시,공무원,4707,1925,900,1030,2,0,0,752,474,-699
39,32,0,기타 지방,공무원,3850,1257,900,751,2,0,0,997,744,484
40,46,1,서울,프리랜서,4462,1492,800,489,3,0,0,668,707,-117
41,51,0,서울,무직,1503,595,750,242,1,0,0,1434,906,1745
42,49,1,지방 대도시,은퇴자,1674,900,750,360,1,0,0,119,68,-713
43,48,0,지방 대도시,대기업 직원,7057,3045,900,1382,4,0,0,1563,700,-782
44,26,0,지방 대도시,중소기업 직원,3749,1343,830,429,4,0,0,468,1217,342
45,57,1,지방 대도시,은퇴자,1601,713,750,262,1,0,0,1143,638,1068
46,20,1,기타 지방,대기업 직원,5556,2687,880,554,3,0,0,1084,1117,-486
47,36,1,서울,중소기업 직원,4538,2450,850,780,2,0,0,2583,710,843
48,57,0,기타 지방,대기업 직원,6355,2242,900,1287,3,0,0,161,11,-2070
49,42,1,인천,자영업자,4118,2456,800,896,2,0,0,504,139,-1813
50,67,0,기타 지방,공무원,3880,2158,850,659,2,0,0,1051,1102,-5
51,60,0,서울,무직,1725,694,700,331,2,0,0,894,1260,1460
52,33,1,인천,무직,1105,459,750,217,1,0,0,444,918,903
53,48,0,기타 지방,자영업자,2916,1677,800,558,1,0,0,227,0,-1450
54,24,1,경기,자영업자,4936,2157,780,1073,2,0,0,1083,912,-162
55,39,1,인천,무직,1335,584,750,237,1,0,0,0,1006,422
56,48,1,경기,은퇴자,2660,1126,700,625,1,1,0,2497,1299,2670
57,42,1,기타 지방,무직,906,467,750,113,2,0,0,873,950,1356
58,38,1,인천,은퇴자,1655,943,750,342,1,0,0,711,381,149
59,34,1,인천,공무원,5591,2190,900,894,2,0,0,1674,1208,692
60,51,1,서울,무직,1528,866,750,324,2,0,0,1541,1032,1707
61,45,0,서울,은퇴자,1893,1079,750,407,2,0,0,1312,1871,2104
62,54,1,지방 대도시,대기업 직원,5091,2394,900,1192,3,0,0,1106,1108,-180
63,25,1,인천,자영업자,4497,1392,780,973,3,0,0,136,548,-708
64,23,0,인천,자영업자,3733,1127,780,548,3,0,0,791,523,187
65,50,1,경기,프리랜서,2806,1396,800,620,1,0,0,389,553,-454
66,39,0,서울,자영업자,5709,3204,800,798,3,0,0,980,1460,-764
67,27,0,인천,프리랜서,2410,817,780,380,2,0,0,1402,467,1052
68,51,1,경기,대기업 직원,6421,1982,900,800,3,0,0,1438,1217,673
69,36,1,경기,프리랜서,2437,736,700,402,1,0,1,1175,747,1186
70,42,0,인천,무직,1414,738,750,187,1,0,0,1011,1109,1382
71,57,1,지방 대도시,은퇴자,2142,1167,750,412,2,0,0,1372,850,1055
72,68,0,경기,프리랜서,3907,2245,750,392,4,0,0,1560,1999,1314
73,32,0,서울,프리랜서,4042,1630,800,445,2,0,0,1557,1208,1135
74,43,1,기타 지방,중소기업 직원,2940,1465,750,355,2,0,1,288,256,-921
75,36,0,지방 대도시,프리랜서,2717,1555,800,281,2,0,0,107,98,-1350
76,33,1,지방 대도시,자영업자,4181,1965,800,790,2,0,0,1460,1541,1036
77,38,0,지방 대도시,은퇴자,1938,953,750,323,1,0,0,1638,1899,2584
78,49,1,기타 지방,공무원,4212,2366,850,427,3,1,0,1559,2260,1453
79,59,1,인천,프리랜서,2982,1416,800,439,1,0,0,679,613,-124
80,54,0,서울,대기업 직원,7542,3199,900,957,3,0,0,383,939,-1877
81,54,0,인천,무직,1509,765,750,339,1,0,0,457,439,131
82,62,0,경기,무직,1395,827,700,268,2,0,0,2250,1813,3236
83,71,1,지방 대도시,은퇴자,1458,609,700,265,2,0,0,820,720,931
84,73,0,경기,무직,1435,746,700,268,2,0,0,1324,984,1562
85,34,0,경기,은퇴자,2520,1477,750,319,1,0,0,644,334,-499
86,57,1,기타 지방,무직,1159,592,750,236,2,0,0,604,174,186
87,40,1,서울,공무원,6104,2544,900,972,5,0,0,681,2806,943
88,46,0,서울,은퇴자,1825,750,750,399,2,0,0,878,352,480
89,42,0,서울,자영업자,4207,2380,800,975,4,0,0,1105,642,-633
90,34,0,인천,은퇴자,2502,1069,750,311,2,0,0,1094,889,914
91,37,0,기타 지방,은퇴자,1766,764,750,348,1,0,0,409,95,-260
92,55,0,경기,프리랜서,2776,1059,800,438,2,0,0,682,766,389
93,31,0,경기,프리랜서,2528,1007,800,210,1,0,0,557,560,110
94,74,1,경기,무직,1254,605,600,199,1,0,1,1223,1294,1912
95,42,0,지방 대도시,중소기업 직원,4014,1267,850,429,2,0,0,808,267,-192
96,43,0,서울,프리랜서,4693,2516,800,1088,2,0,0,0,326,-2190
97,41,1,인천,대기업 직원,7478,3923,900,1487,3,0,0,936,338,-2649
98,57,0,지방 대도시,공무원,4967,1807,900,714,3,0,0,2264,1621,2078
99,43,1,서울,공무원,5569,2673,900,754,2,0,0,339,86,-2248
100,30,0,서울,무직,1651,835,700,395,2,1,0,968,819,952
101,29,1,서울,자영업자,3993,1368,780,551,4,0,0,1154,449,235
102,32,0,경기,자영업자,4348,1431,800,970,2,0,0,111,393,-927
103,25,1,경기,중소기업 직원,5482,1912,830,1173,4,0,0,652,2039,779
104,32,0,기타 지방,대기업 직원,5365,2017,900,1247,2,0,0,565,273,-1179
105,34,0,경기,대기업 직원,7662,2787,900,1462,3,0,0,744,877,-1166
106,42,1,지방 대도시,은퇴자,1743,905,750,204,2,0,0,641,609,345
107,27,0,지방 대도시,은퇴자,2118,999,630,306,2,0,1,486,679,166
108,49,0,기타 지방,자영업자,2747,1350,800,320,1,0,0,1012,1443,1105
109,21,1,인천,공무원,5864,2713,880,950,3,0,0,1692,1143,122
110,20,1,경기,공무원,6268,2947,880,573,5,0,0,455,704,-1788
111,40,1,기타 지방,공무원,4177,1614,900,866,3,0,0,501,347,-766
112,26,0,지방 대도시,공무원,5181,3006,880,1219,4,0,0,926,1066,-1014
113,64,0,인천,무직,1185,361,700,106,2,0,0,1566,1019,2224
114,40,1,기타 지방,중소기업 직원,2950,1067,850,310,2,0,0,1745,631,1309
115,23,0,경기,프리랜서,2458,829,780,394,2,0,0,743,267,181
116,36,1,경기,대기업 직원,7132,3771,900,874,5,0,0,410,73,-3288
117,62,0,서울,무직,1573,749,700,184,2,0,0,1167,1317,1735
118,28,1,지방 대도시,공무원,5185,3107,880,479,2,0,0,744,694,-1669
119,37,1,서울,대기업 직원,7312,3783,900,1170,5,0,0,1111,831,-1841
120,24,0,경기,은퇴자,1679,586,730,335,2,0,0,911,1021,1346
121,55,1,지방 대도시,대기업 직원,6462,2105,900,583,4,0,0,689,776,-640
122,69,1,인천,공무원,6105,2911,850,954,5,0,0,590,678,-1643
123,33,1,인천,프리랜서,3568,1683,700,849,3,0,1,1527,405,249
124,45,1,서울,자영업자,3889,1948,800,908,2,0,0,1183,368,-397
125,39,1,경기,중소기업 직원,4758,1706,750,756,3,0,1,535,273,-898
126,25,1,지방 대도시,자영업자,2870,1406,730,563,1,1,0,0,868,-538
127,25,1,인천,공무원,4779,2116,880,1155,4,0,0,126,338,-1652
128,57,0,기타 지방,은퇴자,1516,647,750,126,2,0,0,872,523,748
129,22,1,인천,자영업자,3750,1886,780,411,3,0,0,1486,1420,1020
130,35,0,지방 대도시,공무원,4088,2049,900,564,4,0,0,1172,1960,1083
131,38,0,기타 지방,자영업자,2975,1582,750,425,2,1,0,1249,821,488
132,41,1,인천,공무원,5392,2897,900,550,3,0,0,780,385,-1732
133,20,1,서울,중소기업 직원,4467,2170,830,977,2,0,0,767,1292,-111
134,37,0,경기,자영업자,4467,2108,800,640,2,0,0,599,425,-1084
135,34,0,지방 대도시,공무원,4509,2623,900,1041,4,0,0,1453,706,-464
136,45,0,경기,공무원,5615,1793,900,652,2,0,0,396,287,-1110
137,50,1,인천,프리랜서,3694,1220,800,753,2,0,0,1405,648,833
138,64,1,기타 지방,자영업자,2974,1633,750,374,1,0,0,1021,953,341
139,21,1,기타 지방,은퇴자,1272,522,730,224,1,0,0,511,564,553
140,68,1,인천,대기업 직원,6560,2092,850,683,5,0,0,2551,1435,1894
141,24,1,지방 대도시,공무원,5026,1779,880,667,4,0,0,516,206,-1057
142,27,1,경기,자영업자,4492,2428,780,712,4,0,0,1667,778,17
143,55,0,서울,은퇴자,2208,1064,750,381,2,0,0,39,418,-607
144,49,1,서울,중소기업 직원,4404,1858,850,934,2,0,0,981,658,-219
145,50,0,서울,중소기업 직원,5274,1641,850,877,2,0,0,209,271,-1161
146,48,0,서울,무직,1364,533,750,222,2,0,0,1620,942,2029
147,47,0,인천,대기업 직원,7510,4025,900,1264,5,0,0,2179,2412,566
148,57,0,경기,은퇴자,1842,1029,750,175,1,0,0,1170,363,504
149,41,0,서울,은퇴자,2100,841,700,266,2,1,0,1366,870,1395
150,52,1,기타 지방,중소기업 직원,3192,1251,850,332,4,0,0,1647,1391,1787
151,59,1,지방 대도시,중소기업 직원,3464,1281,850,807,3,0,0,1713,1602,2034
152,62,0,지방 대도시,은퇴자,1434,649,700,246,1,0,0,625,1425,1401
153,32,1,서울,무직,1732,806,750,301,1,0,0,411,213,-182
154,79,0,경기,프리랜서,3159,1893,750,666,4,0,0,2633,1605,2345
155,50,1,지방 대도시,프리랜서,2674,810,800,286,1,0,0,1215,1058,1463
156,36,1,인천,대기업 직원,7078,3784,900,988,5,0,0,551,298,-2935
157,43,1,서울,자영업자,4474,1989,800,673,2,0,0,705,567,-717
158,28,1,기타 지방,자영업자,3057,1495,780,593,2,0,0,0,0,-1495
159,21,0,인천,은퇴자,1692,966,730,307,1,0,0,593,792,419
160,36,1,경기,중소기업 직원,5109,2202,850,553,2,0,0,390,883,-929
161,23,0,경기,무직,1339,582,730,165,2,0,0,1133,1320,1871
162,56,1,서울,자영업자,4694,2581,800,496,3,0,0,1785,832,36
163,26,1,지방 대도시,중소기업 직원,3451,2063,830,744,4,0,0,2006,1662,1605
164,31,0,경기,은퇴자,2165,726,750,232,2,0,0,1217,669,1160
165,61,1,인천,무직,1081,327,700,157,1,0,0,1449,327,1449
166,39,1,인천,은퇴자,2232,1241,700,323,2,1,0,1382,1202,1343
