user_id,loan_id,loan_product_views,loan_applied
17478,118,2,1
4096,25,7,0
9007,107,5,1
19471,100,7,0
5166,101,9,0
12212,103,7,0
16912,68,3,0
11713,7,7,1
15501,73,8,0
8066,34,6,0
13408,67,5,0
12741,1,3,1
15496,26,4,1
373,8,4,0
5517,9,8,0
3183,53,3,1
3858,55,9,1
12668,81,6,1
19049,79,6,0
18425,11,4,0
5628,103,6,0
3227,92,4,0
14033,51,7,0
19767,110,9,0
15773,33,8,0
1079,78,4,0
12795,58,7,1
18964,50,9,0
5303,51,5,1
466,92,3,0
1549,7,3,0
13730,79,6,0
3037,56,6,0
10104,51,5,1
9831,6,8,1
12286,18,5,1
14364,101,1,0
9768,38,3,1
7515,33,1,0
8345,62,3,1
6555,51,9,0
1325,99,2,0
9178,17,5,1
7748,110,1,1
7276,40,9,1
18030,111,9,1
16202,64,8,0
3910,95,6,0
11070,104,7,1
10149,69,1,1
14097,36,2,0
10942,107,7,0
16662,91,9,0
4234,85,5,0
4044,106,6,0
762,56,2,0
6905,94,1,0
6780,46,7,1
11207,41,5,1
2304,8,4,1
7625,93,1,0
280,119,3,0
13373,111,8,0
17326,119,8,1
11845,85,8,1
6745,6,9,1
10669,62,6,0
12463,60,5,1
17039,32,5,1
11797,89,4,1
9885,25,3,0
10358,57,4,0
1225,38,7,0
15267,68,9,1
16908,78,1,1
12461,17,3,0
19501,114,7,1
16338,60,9,0
12470,97,4,0
9864,27,6,0
1015,63,8,1
5572,43,2,0
17426,30,2,0
2244,55,1,1
10907,106,1,0
14853,40,7,1
19156,34,1,0
8224,60,1,1
18239,57,6,0
2867,19,7,0
15517,59,4,0
1908,80,2,0
14120,53,2,0
12881,89,9,0
5539,34,3,0
19692,13,3,1
995,11,2,0
4003,74,5,1
3091,76,7,0
4997,97,6,1
6145,4,6,0
5243,44,7,1
3701,82,8,1
15569,52,1,0
10936,47,5,1
3047,116,2,0
4231,51,8,0
16491,47,2,0
9810,52,1,0
2420,73,2,0
3320,114,4,0
17277,77,1,0
14771,70,5,0
8863,101,1,0
16051,115,7,1
12955,33,5,0
10522,39,9,0
341,106,2,0
18359,99,9,0
8087,15,4,0
6840,4,5,0
5648,106,9,1
19557,113,5,0
14999,49,3,1
1989,38,8,1
16981,45,3,0
18929,112,3,0
6857,59,1,0
17943,120,5,1
16603,53,6,0
10926,24,6,1
2849,91,7,0
13220,115,3,0
5224,80,7,1
8209,89,5,1
17129,28,4,0
355,52,8,1
7260,16,6,0
9364,31,1,1
11645,97,8,0
2278,93,3,0
10658,49,1,0
16005,84,5,0
