loan_id,interest_rate,loan_limit,loan_term_months,credit_score_requirement
1,5.34,7398,240,673
2,3.76,22604,80,813
3,3.8,22209,21,689
4,4.99,10818,174,683
5,3.46,25419,39,710
6,4.73,13284,24,760
7,3.32,26772,200,703
8,3.48,25246,196,766
9,5.29,7929,183,628
10,4.82,12444,119,607
11,3.06,29310,111,872
12,5.21,8723,216,696
13,4.76,12970,226,659
14,3.59,24166,181,675
15,5.21,8656,76,704
16,4.15,18842,102,644
17,3.32,26819,160,837
18,5.12,9510,23,697
19,5.46,6329,84,690
20,5.13,9475,125,600
21,4.28,17643,82,756
22,4.09,19454,81,785
23,5.12,9505,102,576
24,5.9,2098,119,622
25,4.45,16007,189,695
26,4.93,11385,32,687
27,4.61,14397,102,718
28,4.58,14768,127,682
29,4.02,20091,198,790
30,4.16,18789,165,724
31,5.31,7717,107,546
32,4.09,19423,159,657
33,3.39,26143,191,751
34,4.1,19277,205,769
35,3.69,23293,89,812
36,5.37,7173,124,548
37,4.49,15536,83,659
38,5.69,4123,229,544
39,3.41,25894,98,821
40,3.76,22551,100,788
41,4.52,15332,176,796
42,4.12,19149,159,757
43,4.37,16718,33,632
44,5.24,8412,69,584
45,3.59,24164,54,831
46,3.64,23769,110,738
47,5.61,4881,23,642
48,3.09,29023,154,776
49,6.0,1130,54,595
50,4.73,13292,54,683
51,4.87,11978,37,651
52,3.4,25989,59,734
53,5.11,9662,103,692
54,5.45,6364,147,713
55,4.16,18705,115,662
56,5.3,7815,199,743
57,4.05,19787,12,758
58,3.34,26557,236,684
59,5.72,3846,76,630
60,5.9,2050,49,662
61,4.56,14924,12,690
62,5.92,1844,20,698
63,3.82,21973,74,717
64,4.8,12580,181,590
65,4.35,16886,90,643
66,5.68,4227,52,624
67,4.61,14408,41,604
68,4.62,14378,216,646
69,3.89,21357,136,793
70,3.32,26764,185,797
71,4.59,14633,186,749
72,5.53,5593,79,569
73,5.63,4618,23,545
74,5.49,5992,50,577
75,3.59,24190,186,762
76,3.77,22497,96,674
77,5.41,6725,109,614
78,5.21,8649,224,741
79,3.0,29859,74,814
80,3.64,23694,166,768
81,4.99,10825,177,628
82,3.16,28360,48,712
83,5.01,10583,138,735
84,4.6,14519,76,677
85,5.76,3460,105,602
86,3.03,29559,213,761
87,3.32,26802,158,821
88,5.76,3440,19,617
89,4.68,13795,77,699
90,4.23,18062,152,808
91,5.19,8886,68,561
92,3.93,20973,207,767
93,4.2,18332,110,814
94,4.26,17806,67,729
95,3.31,26923,236,705
96,3.52,24856,196,762
97,4.67,13868,123,720
98,5.03,10415,213,596
99,5.07,10025,209,749
100,5.04,10315,112,581
101,4.17,18619,135,720
102,5.88,2234,156,511
103,5.42,6663,74,710
104,5.57,5217,111,552
105,4.11,19217,130,722
106,6.0,1116,159,638
107,4.18,18559,138,726
108,4.67,13829,196,729
109,5.52,5731,162,677
110,3.57,24409,228,746
111,3.7,23114,196,792
112,4.55,14995,229,621
113,4.0,20271,125,779
114,3.83,21918,233,729
115,4.08,19468,197,743
116,5.4,6881,109,732
117,4.42,16223,84,759
118,3.46,25465,17,734
119,3.18,28112,145,863
120,5.45,6355,16,719
