user_id,savings_id,savings_product_views,savings_applied
13845,5,3,1
12950,5,6,1
8540,40,2,1
11458,84,2,0
112,80,6,0
19896,80,5,1
15928,84,1,0
16865,29,4,1
15757,92,5,0
5396,24,3,0
15508,71,2,1
9399,91,3,1
18487,52,4,0
16854,4,1,1
3387,78,1,1
18979,9,5,1
6259,89,2,0
19948,43,8,0
15393,73,7,0
829,58,4,1
2,64,5,0
19030,36,7,1
8561,40,5,1
3903,96,1,1
17848,38,2,0
13057,40,3,1
16623,65,3,1
13204,45,5,1
16960,15,3,0
3503,70,1,1
10353,82,4,0
19492,13,2,1
6827,6,4,1
10186,69,5,1
14640,91,5,1
15693,61,2,0
4598,62,6,1
12294,7,3,1
15706,87,2,0
12538,55,3,1
6103,38,1,1
12679,93,7,1
7492,92,1,0
19781,7,5,0
7455,42,4,1
142,53,6,1
1960,22,1,1
13575,31,4,1
8599,33,1,1
4989,47,4,1
5435,98,1,0
9305,47,1,1
18606,73,3,1
12537,42,1,0
2936,27,3,1
10011,72,4,0
17060,8,4,1
5445,7,2,0
5936,7,2,0
11758,51,5,0
2052,94,4,1
6537,88,1,1
17771,56,5,0
5753,5,3,0
9259,63,2,1
16310,76,1,1
5880,27,1,1
3649,97,1,1
3090,87,1,0
12809,67,4,1
14633,100,1,1
19604,33,9,1
8893,40,1,1
541,78,3,1
3147,85,3,0
16943,11,6,1
3303,8,2,1
11959,36,3,0
15237,85,4,0
5613,37,4,0
3321,33,2,1
19617,90,3,0
15075,45,2,1
5144,3,2,1
11756,77,4,1
12650,70,1,0
17789,57,1,1
4478,48,1,0
18809,53,4,1
2384,63,1,1
19361,42,6,1
1555,17,3,0
2219,89,2,1
5431,80,4,0
8806,92,3,1
2413,68,1,0
177,6,1,1
8890,69,1,1
7918,7,1,1
16243,63,1,1
4150,61,1,1
6469,41,1,1
11237,68,2,1
5865,42,5,1
4740,43,1,0
7665,54,4,1
3669,66,2,1
17723,26,2,1
6160,51,3,1
19484,44,5,1
